county,city,type,website,ballot,sorting county
,North Haven,town,http://www.northhavenmaine.org/,,Knox
,Owls Head,town,https://www.owlshead.maine.gov/,,Knox
,Rockland,town,https://rocklandmaine.gov/municipal/departments/clerks-office/voting/,,Knox
,Rockport,town,https://www.town.rockport.me.us/index.asp?Type=B_BASIC&SEC={A71530A6-2667-4219-A5D1-3C8166C708E7},,Knox
,South Thomaston,town,https://souththomaston.me,,Knox
,St. George,town,https://www.stgeorgemaine.com/elections,,Knox
,Thomaston,town,https://www.thomastonmaine.us/public/index.php,,Knox
,Vinalhaven,town,https://www.townofvinalhaven.org/government/pages/elections,,Knox
,Warren,town,https://warrenmaine.org/index.asp?SEC=9A16E126-423D-4173-BA38-89BF24884BF9,,Knox
,Washington,town,https://www.washington.maine.gov/,,Knox
Lincoln,,county,https://www.lincolncountymaine.me/#!,,Lincoln
,Alna,town,https://www.alna.maine.gov/,,Lincoln
,Boothbay,town,https://www.townofboothbay.org/,,Lincoln
,Boothbay Harbor,town,https://www.boothbayharbor.org/departments/town-clerk,,Lincoln
,Bremen,town,http://www.bremenmaine.org/,,Lincoln
,Bristol,town,https://www.bristolmaine.org/town-clerk,,Lincoln
,Dresden,town,https://www.townofdresden.com/town-office1.html,,Lincoln
,Edgecomb,town,https://edgecomb.org/,,Lincoln
,Jefferson,town,https://jeffersonmaine.org/election-information/,,Lincoln
,Monhegan Island Plantation,plantation,http://www.monheganplantation.com/,,Lincoln
,Newcastle,town,https://www.newcastlemaine.us/government/election-information/,,Lincoln
,Nobleboro,town,https://www.nobleboro.maine.gov/,,Lincoln
,Somerville,town,http://www.somervillemaine.org/town-government/election-information,,Lincoln
,South Bristol,town,https://www.townofsouthbristol.com/,,Lincoln
,Southport,town,https://sites.google.com/site/townofsouthport/home,,Lincoln
,Waldoboro,town,https://www.waldoboromaine.org/index.php/departments/town-clerk,,Lincoln
,Westport Island,town,http://westportisland.us/government/voter-registration,,Lincoln
,Whitefield,town,https://townofwhitefield.com/election-information/,,Lincoln
,Wiscasset,town,http://www.wiscasset.org/departments/town-clerk-and-elections,,Lincoln
Oxford,,county,https://www.oxfordcounty.org/,,Oxford
,Albany Township,town,http://www.albanymaine.org/,,Oxford
,Andover,town,https://www.andovermaine.org/,,Oxford
,Bethel,election,https://www.bethelmaine.org/2181/Voter-Registration,,Oxford
,Brownfield,town,http://www.brownfieldmaine.org/,,Oxford
,Buckfield,town,https://www.townofbuckfield.com,,Oxford
,Byron,Facebook,https://www.facebook.com/Town-of-Byron-Maine-559875007809068/,,Oxford
,Canton,town,http://townofcantonmaine.org/,,Oxford
,Denmark,election,https://www.denmarkmaine.org/index.asp?Type=B_BASIC&SEC={71AE01AE-D71C-4B94-ABEF-6BE5F6008049},,Oxford
,Dixfield,town,https://dixfield.org/,,Oxford
,Fryeburg,town,http://www.fryeburgmaine.org/,,Oxford
,Gilead,Facebook,https://www.facebook.com/pages/category/Government-Organization/Gilead-Town-Office-614214438918965/,,Oxford
,Greenwood,town,http://www.greenwoodmaine.org/,,Oxford
,Hanover,town,http://hanoverme.org/,,Oxford
,Hartford,town,https://httphartfordmaine.org/,,Oxford
,Hebron,election,https://hebronmaine.org/index.asp?SEC=BFFFF77E-BF4B-490E-BCAC-8E7052666D19&Type=B_LIST,,Oxford
,Lincoln Plantation,contact info,https://www.maine.gov/local/town.php?t=Lincoln%20Plt,,Oxford
,Lovell,town,http://www.lovellmaine.org/,,Oxford
,Magalloway Plantation,Facebook,https://www.facebook.com/pages/Magalloway-Plantation-Maine/109272282425174,,Oxford
,Mason Township,Facebook,https://www.facebook.com/pages/Mason-Township/357749094324284,,Oxford
,Mexico,town,http://www.mexicomaine.net/,,Oxford
,Milton Township,(Oxford County unorganized territories),https://www.oxfordcounty.org/resources/unorganized-territory,,Oxford
,Newry,town,https://newrymaine.org/,,Oxford
,North Oxford Unorganized Territories,(Oxford County unorganized territories),https://www.oxfordcounty.org/resources/unorganized-territory,,Oxford
,Norway,election,https://norwaymaine.com/votingelections-2/,,Oxford
,Otisfield,election,https://www.otisfieldme.gov/town-clerk/pages/voting-election-information,,Oxford
,Oxford,town,https://oxfordmaine.org/,,Oxford
,Paris,town,https://www.parismaine.org/,,Oxford
,Peru,town,http://townofperu.org/,,Oxford
,Porter,town,https://portermaine.org/,,Oxford
,Roxbury,town,http://www.roxburymaine.com/index.php,,Oxford
,Rumford,town,http://www.rumfordme.org/,,Oxford
,South Oxford Unorganized Territory,Facebook,https://www.facebook.com/pages/South-Oxford-Maine/139309962754460,,Oxford
,Stoneham,town,https://stoneham-maine.com/,,Oxford
,Stow,town,https://www.stowmaine.us/#!,,Oxford
,Sumner,town,http://www.sumnermaine.us,,Oxford
,Sweden,election,https://swedenmaine.org/voter-registration/,,Oxford
,Upton,contact info,https://www.maine.gov/local/town.php?t=Upton,,Oxford
,Waterford,town,http://www.waterfordme.org/,,Oxford
,West Paris,election,https://www.westparisme.com/index.asp?SEC=19147DB6-D2B4-46FE-8C61-8385CF9880BD,,Oxford
,Woodstock,town,http://woodstockmaine.net/,,Oxford
Penobscot,,county,https://www.penobscot-county.net/#!,,Penobscot
,Alton,Facebook,https://www.facebook.com/Town-of-Alton-321335587904880/,,Penobscot
,Argyle,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Bradford,town,http://www.bradfordmaine.org,,Penobscot
,Bradley,election,http://www.townofbradley.net/voter-information/4592109537,,Penobscot
,Brewer,election,http://brewermaine.gov/city-clerk/register-vote/,,Penobscot
,Burlington,town,http://www.burlingtonme.com/,,Penobscot
,Carmel,town,http://www.townofcarmel.org/,,Penobscot
,Carroll Plantation,Facebook,https://www.facebook.com/pages/Carroll-Plantation-Town-Offices/1504687936419080,,Penobscot
,Cedar Lake Township,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Charleston,town,http://www.charlestonmaine.com/,,Penobscot
,Chester,contact info,https://www.maine.gov/local/town.php?t=Chester,,Penobscot
,Clifton,town,https://cliftonme.com/,,Penobscot
,Corinna,election,https://corinna.govoffice.com/index.asp?SEC=E47FF968-670B-444E-A6C7-0BCFCAAA3ADA&Type=B_BASIC,,Penobscot
,Corinth,election,https://www.townofcorinth.com/voting-elections,,Penobscot
,Dexter,town,http://www.dextermaine.org/,,Penobscot
,Dixmont,town,https://www.townofdixmont.org/,,Penobscot
,Drew Plantation,Facebook,https://www.facebook.com/pages/Drew-Plantation-Town-Office/260577274122319,,Penobscot
,East Millinocket,town,https://www.eastmillinocket.org/default.aspx,,Penobscot
,Eddington,town,http://www.eddingtonmaine.gov,,Penobscot
,Edinburg,contact info,https://www.maine.gov/local/town.php?t=Edinburg,,Penobscot
,Enfield,town,https://townofenfieldmaine.org/,,Penobscot
,Etna,town,https://sites.google.com/site/townofetna/,,Penobscot
,Exeter,town,http://www.townofexetermaine.com/,,Penobscot
,Garland,town,https://www.garlandmaine.net/,,Penobscot
,Glenburn,election,https://www.glenburn.org/index.asp?Type=B_BASIC&SEC={7E74E00E-6642-419F-A2B2-CE346E84470F},,Penobscot
,Grand Falls,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Greenbush,election,http://www.townofgreenbushmaine.org/elections_and_voting.html,,Penobscot
,Greenfield,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Grindstone,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Hampden,town,http://www.hampdenmaine.com/,,Penobscot
,Hermon,town,http://www.hermon.net/,,Penobscot
,Herseytown,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Holden,town,http://www.holdenmaine.com/,Question about recreational marajuana,Penobscot
,Hopkins Academy Grant,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Howland,election,https://www.howlandmaine.com/index.asp?SEC=0BD100EB-60B8-4A8E-BBE5-EB92F5DD1098,,Penobscot
,Hudson,town,hudsonmaine.wordpress.com,,Penobscot
,Indian Island,tribal,https://www.penobscotnation.org/,,Penobscot
,Indian Ourchase 4,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Indian Purchase 3,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Kenduskeag,town,https://townofkenduskeag.wordpress.com/,,Penobscot
,Kingman,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Lagrange,town,https://www.lagrangeme.com/,,Penobscot
,Lakeville,contact info,https://www.maine.gov/local/town.php?t=Lakeville,,Penobscot
,Lee,Facebook,https://www.facebook.com/Town-of-Lee-432149760230928/,,Penobscot
,Levant,town,http://townoflevant.net/,,Penobscot
,Lincoln,town,https://lincolnmaine.org/,"Town council, sanitary district, school board",Penobscot
,Long A,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Lowell,Facebook,https://www.facebook.com/pages/category/Government-Organization/Town-of-Lowell-Maine-1938921983015278/,,Penobscot
,Mattamiscontis,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Mattawamkeag,Facebook,https://www.facebook.com/pages/Town-of-Mattawamkeag/119176698133775,,Penobscot
,Maxfield,contact info,https://www.maine.gov/local/town.php?t=Maxfield,,Penobscot
,Medway,town,https://www.medwaymaine.org/,,Penobscot
,Milford,town,http://www.milfordmaine.org/,,Penobscot
,Millinocket,town,http://www.millinocket.org/,,Penobscot
,Mount Chase,Facebook,https://www.facebook.com/pages/category/Community/Mt-Chase-Maine-279593082200069/,,Penobscot
,Newburgh,town,http://newburghmaine.ipage.com/,,Penobscot
,Newport,town,http://www.newportmaine.org/,,Penobscot
,Old Town,election,http://www.old-town.org/2014/04/elections.html,,Penobscot
,Orono,election,http://www.orono.org/304/Elections-Voting,,Penobscot
,Orrington,town,https://orrington.govoffice.com/,,Penobscot
,Passadumkeag,town,https://passadumkeagmaine.org/,,Penobscot
,Patten,town,http://www.pattenmaine.org,,Penobscot
,Plymouth,election,http://www.townofplymouthmaine.com/Town-Clerk-s-Office.html,,Penobscot
,Prentiss,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Pukakon,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Seboeis Plantation,contact info,https://www.maine.gov/local/town.php?t=Seboeis%20Plt,,Penobscot
,Soldiertown,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Springfield,town,https://springfieldmaine.weebly.com/,,Penobscot
,Stacyville,Facebook,https://www.facebook.com/pages/Town-of-Stacyville/135924309789703,,Penobscot
,Stetson,town,http://www.stetsonmaine.net/,,Penobscot
,Summit,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T1 R6 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T1 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T2 R8 NWP,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T2 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T2 R9 NWP,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T3 R1 NBPP,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T3 R7 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T3 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T4 R7 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T4 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T5 R7 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T5 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T6 R6 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T6 R7 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T6 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T7 R6 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T7 R7 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T7 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T8 R6 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T8 R7 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,T8 R8 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,TA R7 WELS,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Veazie,election,https://www.veazie.net/town-clerk/pages/voting-elections,,Penobscot
,Veazie Gore,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,Penobscot
,Webster Plantation,contact info,https://www.maine.gov/local/town.php?t=Webster%20Plt,,Penobscot
,Winn,town,https://winnmaine.com/index.html,,Penobscot
,Woodville,Facebook,https://www.facebook.com/ResidencesofWoodville/,,Penobscot
Piscataquis,,county,https://www.piscataquis.us/,,Piscataquis
